imputer&corr_coph
Complete&0.742672157540274
MICE-RandomForest&0.724567873928955
MICE-BayesianRidge&0.688232384992194
Media&0.661559091636262
KNN&0.656355995212793
MICE-LinearRegression&0.646881398374621
Mediana&0.625004316502508
HotDeck&0.566863070961147
