"Country.Name","Country.Code","year","account","fin_account","saved_fin_acc","saved_any_money","borrowed_fin_acc","borrowed_any_money","debit_card_purch","credit_card_purch","imputer"
"Afghanistan","AFG",2017,14.8933124542236,14.5470838546753,3.667888879776,14.016622543335,3.81130361557007,33.9189720153809,35.8515491739648,29.8876943185296,"Media"
"Albania","ALB",2017,40.0151710510254,39.3175048828125,8.66098213195801,25.8798294067383,12.5244770050049,42.968204498291,5.35044765472412,29.8876943185296,"Media"
"Algeria","DZA",2017,42.7766265869141,42.7766265869141,11.4222459793091,38.6612663269043,4.95204830169678,28.8700675964355,3.4874472618103,29.8876943185296,"Media"
"Angola","AGO",2017,61.3826017247306,58.1331594520145,23.6135646609796,50.5537131296264,23.7590337627464,47.7429665194617,35.8515491739648,29.8876943185296,"Media"
"Argentina","ARG",2017,48.7084884643555,47.916690826416,7.19787311553955,30.3145408630371,24.3693313598633,37.4963493347168,21.6409244537354,21.0299186706543,"Media"
"Armenia","ARM",2017,47.7590179443359,45.3288192749023,10.018105506897,31.252311706543,31.2097434997559,55.3152389526367,8.4267749786377,29.8876943185296,"Media"
"Australia","AUS",2017,99.5193710327148,99.5193710327148,62.1240196228027,79.2931442260742,63.736873626709,71.7233810424805,83.345100402832,56.8472671508789,"Media"
"Austria","AUT",2017,98.1636657714844,98.1636657714844,55.7963180541992,79.5953140258789,47.3233413696289,61.6029090881348,76.5695343017578,39.0558700561523,"Media"
"Azerbaijan","AZE",2017,28.5712032318115,28.5712032318115,4.52971363067627,26.7763652801514,15.1203336715698,50.6148529052734,3.61413359642029,29.8876943185296,"Media"
"Bahrain","BHR",2017,82.6128463745117,82.6128463745117,30.7124347686768,54.8867988586426,36.3241539001465,60.1968994140625,57.1134223937988,25.7590618133545,"Media"
"Bangladesh","BGD",2017,50.0469131469727,40.9726486206055,9.92326641082764,27.515697479248,9.20577144622803,36.7884292602539,35.8515491739648,29.8876943185296,"Media"
"Belarus","BLR",2017,81.1558837890625,81.1558837890625,22.1941909790039,50.4275741577148,21.4595680236816,48.639087677002,58.0645980834961,17.2121143341064,"Media"
