"CountryCode","SeriesCode","DESCRIPTION",
"OED","fin14b.a.3","Only high-income countries are covered.",
"OED","fin20b.t.a.7","Only high-income countries are covered.",
"OED","fin25a.t.a.s.5","Only high-income countries are covered.",
"OED","fin27.29c2.t.d.s","Only high-income countries are covered.",
"OED","fin41.t.d","Only high-income countries are covered.",
"OED","fin47b.t.s","Only high-income countries are covered.",
"OED","fin5.d.8","Only high-income countries are covered.",
"OED","fing2p.40.t.d.s","Only high-income countries are covered.",
"OED","fing2p.t.d.2","Only high-income countries are covered.",
"OED","mobileaccount.t.d.7","Only high-income countries are covered.",
"OED","account.t.d.1","Only high-income countries are covered.",
"OED","fin46.a.3","Only high-income countries are covered.",
"OED","fin24a.t.a.10","Only high-income countries are covered.",
"OED","fin24a.t.a.7","Only high-income countries are covered.",
"OED","fin25d.a.s","Only high-income countries are covered.",
"OED","fin34bn.t.a","Only high-income countries are covered.",
"OED","fin22b.t.a.4","Only high-income countries are covered.",
"OED","fin29a.t.a","Only high-income countries are covered.",
"OED","fin43b.t.a.s","Only high-income countries are covered.",
"OED","fin18.t.d.7","Only high-income countries are covered.",
"OED","fin26.t.a.11","Only high-income countries are covered.",
"OED","fin38.41.d","Only high-income countries are covered.",
"OED","fin46.a.11","Only high-income countries are covered.",
"OED","fin34a.t.d","Only high-income countries are covered.",
"OED","fin16.t.a.4","Only high-income countries are covered.",
"OED","fin4.t.d","Only high-income countries are covered.",
"OED","fin19.t.a.9","Only high-income countries are covered.",
"OED","fin22a.14.a","Only high-income countries are covered.",
"OED","fin37.t.a.8","Only high-income countries are covered.",
"OED","fin43c1.t.a.s","Only high-income countries are covered.",
"OED","g20.t.2","Only high-income countries are covered.",
"OED","fin25a.t.a.s.10","Only high-income countries are covered.",
"OED","fing2p.39c.t.d","Only high-income countries are covered.",
"OED","fin22a.t.a.11","Only high-income countries are covered.",
"OED","fin23.t.d.1","Only high-income countries are covered.",
"OED","fin46.a.9","Only high-income countries are covered.",
"OED","fin9.t.a.s","Only high-income countries are covered.",
"OED","g20.t.made.8","Only high-income countries are covered.",
"OED","fin11f.a.s","Only high-income countries are covered.",
"OED","fin24b.t.a.4","Only high-income countries are covered.",
"OED","fin26.28.t.a.1","Only high-income countries are covered.",
"OED","fin30.t.a.5","Only high-income countries are covered.",
"OED","g20.t.receive","Only high-income countries are covered.",
"OED","fin17a.t.a.11","Only high-income countries are covered.",
"OED","fin37.t.a.10","Only high-income countries are covered.",
"OED","fin14b.a.9","Only high-income countries are covered.",
"OED","fin21.t.a.2","Only high-income countries are covered.",
"OED","fin2.t.a.11","Only high-income countries are covered.",
"OED","fin25a.t.a.s.2","Only high-income countries are covered.",
"OED","fin36.t.a","Only high-income countries are covered.",
"OED","fin17b.t.a.10","Only high-income countries are covered.",
"OED","fin22c.a.10","Only high-income countries are covered.",
"OED","fin26.28.t.a.11","Only high-income countries are covered.",
"OED","fin21.t.a.8","Only high-income countries are covered.",
"OED","fin25d.a.s.10","Only high-income countries are covered.",
"OED","fin42.t.a.3","Only high-income countries are covered.",
"OED","fin22a.t.a.2","Only high-income countries are covered.",
"OED","fin26.28.t.a","Only high-income countries are covered.",
"OED","fin39a.t.a","Only high-income countries are covered.",
"OED","g20.t.receive.5","Only high-income countries are covered.",
"OED","fin22b.t.a.11","Only high-income countries are covered.",
"OED","fin26.28.t.a.6","Only high-income countries are covered.",
